% eta1	kappa_k	kappa	sig	lam	mup	sigp	rsmax	n	alpha	alpha1	alpha2	betam1	gamma
1.43776	0.76890	1.04377	0.05818	0.09813	3.82960	3.48913	0.56592	9.01162	0.00196	0.57056	0.53702	0.01300	1.03180
1.68200	0.93300	1.05000	0.17997	0.39867	1.25858	1.63221	0.70213	2.27267	0.00638	3.10371	1.27886	0.00257	0.20079
1.02208	0.62941	0.98042	0.66780	0.28812	0.23308	1.83321	0.61947	2.69744	0.00254	0.76698	0.44164	0.00888	0.23578
2.00000	0.50000	0.95000	0.20603	0.15383	1.89386	2.88821	1.00000	5.74649	0.00000	2.75160	0.01000	0.01450	0.45013
0.91776	0.66761	0.99455	0.19345	0.15896	1.01030	4.90008	0.74250	4.95619	0.00924	1.18723	0.06534	0.01895	0.97659
1.22145	2.49962	0.99306	0.48037	0.46236	2.89694	2.55583	0.71368	2.98570	0.00054	0.68378	2.00000	0.03148	0.89810
1.43506	1.60363	0.97767	0.36027	0.21146	2.61386	0.12569	0.61397	7.02765	0.00029	3.32307	1.64874	0.00466	0.25450
0.72282	0.56051	1.00226	0.18557	0.06267	1.75802	2.00516	0.72127	3.98287	0.00312	2.22492	0.25996	0.01935	0.54725
1.32934	1.26228	1.01582	0.09138	0.33536	0.22355	1.80483	0.62452	6.66731	0.00277	2.86824	1.34162	0.00217	0.14317
1.79258	1.09779	0.99254	0.25278	0.19446	1.59515	2.05827	0.94752	6.40599	0.00054	3.59687	1.58404	0.01101	0.25738
0.50095	0.60679	1.00337	0.12798	0.53200	0.58074	2.22358	0.74720	1.76486	0.00625	6.58732	1.58161	0.00638	0.43669
2.00000	0.87637	1.05000	0.13777	0.15088	1.00336	3.23672	0.93207	2.37222	0.00000	2.81161	0.01194	0.00874	0.21892
0.82144	2.38766	1.02061	0.55298	0.21792	1.14634	2.07686	0.85655	3.86123	0.00180	1.67985	1.53255	0.04620	0.39286
1.21965	0.50000	1.05000	0.17239	0.12868	2.50657	4.94114	0.88617	5.59443	0.00000	1.03192	0.01000	0.01255	0.80994
1.28170	6.26941	0.99338	0.17668	0.35705	4.31808	2.38309	0.80498	1.23776	0.00122	5.66747	0.14648	0.00873	0.17941
1.59586	0.72225	0.99986	0.15986	0.19936	3.47492	1.47987	0.69793	2.67985	0.01032	4.22914	0.01744	0.02778	0.16912
1.02218	0.53228	1.00735	0.47113	0.33422	3.31429	1.86985	0.78166	5.06118	0.00004	2.49885	1.98218	0.00208	0.20570
0.80119	1.98620	1.00016	0.27547	0.32943	2.66803	1.74702	0.71490	1.01379	0.00232	9.87744	0.02395	0.00069	0.19034
1.00354	0.57434	0.97424	0.40131	0.15050	1.29179	1.32094	0.95334	8.32970	0.00310	6.85823	1.74851	0.02097	0.74309
0.58959	2.07048	0.99575	0.21670	0.11901	2.07613	0.95873	0.78564	1.71416	0.00163	9.64158	1.97257	0.00732	0.14945
